NaN,0,0.1,0.2,0.3,0.4,0.5,0.6,0.7,0.8,0.9,1
0.5,-0.00148656,-0.00666042,-0.0367483,-0.0898399,-0.173005,-0.276176,-0.411849,-0.570318,-0.755303,-0.96415,-1.19838
0.6,0.00137635,-0.018384,-0.0541766,-0.105415,-0.18114,-0.271385,-0.378012,-0.508314,-0.657724,-0.817019,-0.993941
0.7,0.000159101,-0.0281925,-0.0647598,-0.117722,-0.181531,-0.264186,-0.356646,-0.462178,-0.578567,-0.715505,-0.85248
0.8,0.00164571,-0.033988,-0.0739478,-0.120716,-0.180939,-0.246805,-0.330205,-0.418365,-0.517124,-0.625105,-0.741665
0.9,0.00172117,-0.0319623,-0.0780481,-0.121853,-0.174492,-0.238,-0.309554,-0.385379,-0.465038,-0.554945,-0.653651
1,-0.00103081,-1.38577e+13,-1.15947e+13,5.74941e+12,3.72223e+13,-2.13881e+14,1.39131e+14,4.92142e+14,-7.06023e+14,-3.53011e+14,-14.8919
1.1,-0.00338258,-0.0355204,-0.0762337,-0.111695,-0.156617,-0.210783,-0.257902,-0.318117,-0.376572,-0.439801,-0.507019
1.2,-0.000239048,-0.0359584,-0.0710174,-0.106636,-0.150128,-0.193292,-0.237381,-0.286579,-0.337162,-0.389632,-0.448741
1.3,0.00249065,-0.0290574,-0.0696041,-0.0996087,-0.137013,-0.173965,-0.213789,-0.248972,-0.295834,-0.339889,-0.39123
1.4,0.00160271,-0.0290657,-0.0579325,-0.0882496,-0.120983,-0.15549,-0.189319,-0.223512,-0.255149,-0.297402,-0.338111
1.5,-0.000110194,-0.0276974,-0.0519131,-0.0818281,-0.105191,-0.132971,-0.16113,-0.189705,-0.220878,-0.250235,-0.281555
1.6,0.000588045,-0.0234897,-0.0446578,-0.0698255,-0.090516,-0.111801,-0.135317,-0.158709,-0.179818,-0.204639,-0.229572
1.7,-0.00134267,-0.0168504,-0.0319936,-0.0506014,-0.0656086,-0.0891541,-0.107412,-0.123654,-0.139318,-0.159915,-0.179351
1.8,0.000685107,-0.0128312,-0.0238411,-0.0382528,-0.0487526,-0.0617427,-0.0728072,-0.0856546,-0.0961011,-0.110028,-0.122886
1.9,0.00249552,-0.00707864,-0.0111055,-0.0186246,-0.0220417,-0.0330174,-0.0396753,-0.0430409,-0.0506283,-0.0561516,-0.0630797
2,0.000873473,-0.000690049,-0.00122265,0.00292444,3.53388e-05,-0.000906793,0.00354872,0.00101875,0.00119445,0.00279902,0.000643401
